Level Name,Arrow Count
Level8.json,58
Level9.json,76
Level10.json,23
Level11.json,80
Level12.json,90
Level13.json,74
Level14.json,68
Level15.json,44
Level16.json,53
Level17.json,40
Level18.json,81
Level19.json,48
Level20.json,55
Level21.json,58
Level22.json,64
Level23.json,52
Level24.json,49
Level25.json,49
Level26.json,98
Level27.json,86
Level28.json,123
Level29.json,61
Level30.json,88
Level31.json,96
Level32.json,59
Level33.json,135
Level34.json,57
Level35.json,79
Level36.json,101
Level37.json,82
Level38.json,128
Level39.json,42
Level40.json,139
Level41.json,67
Level42.json,79
Level43.json,166
Level44.json,43
Level45.json,129
Level46.json,145
Level47.json,66
Level48.json,157
Level49.json,57
Level50.json,70
Level51.json,177
Level52.json,118
Level53.json,164
Level54.json,62
Level55.json,112
Level56.json,118
Level57.json,138
Level58.json,150
Level59.json,69
Level60.json,57
Level61.json,129
Level62.json,119
Level63.json,132
Level64.json,87
Level65.json,148
Level66.json,119
Level67.json,76
Level68.json,139
Level69.json,74
Level70.json,127
Level71.json,117
Level72.json,81
Level73.json,135
Level74.json,126
Level75.json,128
Level76.json,146
Level77.json,122
Level78.json,256
Level79.json,95
Level80.json,87
Level81.json,65
Level82.json,160
Level83.json,199
Level84.json,75
Level85.json,176
Level86.json,287
Level87.json,101
Level88.json,314
Level89.json,176
Level90.json,198
Level91.json,167
Level92.json,139
Level93.json,181
Level94.json,126
Level95.json,223
Level96.json,167
Level97.json,210
Level98.json,360
Level99.json,46
Level100.json,67
Level101.json,159
Level102.json,205
Level103.json,291
Level104.json,91
Level105.json,76
Level106.json,179
Level107.json,149
Level108.json,302
Level109.json,45
Level110.json,78
Level111.json,164
Level112.json,108
Level113.json,182
Level114.json,97
Level115.json,132
Level116.json,248
Level117.json,153
Level118.json,204
Level119.json,131
Level120.json,168
Level121.json,181
Level122.json,440
Level123.json,234
Level124.json,92
Level125.json,175
Level126.json,203
Level127.json,146
Level128.json,62
Level129.json,141
Level130.json,158
Level131.json,147
Level132.json,444
Level133.json,439
Level134.json,95
Level135.json,122
Level136.json,205
Level137.json,206
Level138.json,414
Level139.json,117
Level140.json,175
Level141.json,109
Level142.json,235
Level143.json,355
Level144.json,68
Level145.json,259
Level146.json,222
Level147.json,111
Level148.json,198
Level149.json,52
Level150.json,136
Level151.json,324
Level152.json,105
Level153.json,382
Level154.json,120
Level155.json,206
Level156.json,184
Level157.json,262
Level158.json,256
Level159.json,68
Level160.json,172
Level161.json,245
Level162.json,222
Level163.json,338
Level164.json,72
Level165.json,239
Level166.json,273
Level167.json,176
Level168.json,375
Level169.json,119
Level170.json,272
Level171.json,208
Level172.json,363
Level173.json,137
Level174.json,132
Level175.json,327
Level176.json,203
Level177.json,359
Level178.json,334
Level179.json,62
Level180.json,320
Level181.json,177
Level182.json,134
Level183.json,410
Level184.json,102
Level185.json,230
Level186.json,431
Level187.json,193
Level188.json,230
Level189.json,76
Level190.json,300
Level191.json,134
Level192.json,336
Level193.json,550
Level194.json,120
Level195.json,434
Level196.json,559
Level197.json,183
Level198.json,802
Level199.json,240
Level200.json,376
Level201.json,300
Level202.json,278
Level203.json,168
Level204.json,138
Level205.json,362
Level206.json,376
Level207.json,333
Level208.json,386
Level209.json,188
Level210.json,115
Level211.json,155
Level212.json,323
Level213.json,510
Level214.json,159
Level215.json,294
Level216.json,146
Level217.json,236
Level218.json,355
Level219.json,157
Level220.json,186
Level221.json,150
Level222.json,168
Level223.json,372
Level224.json,213
Level225.json,270
Level226.json,296
Level227.json,203
Level228.json,442
Level229.json,197
Level230.json,286
Level231.json,162
Level232.json,162
Level233.json,278
Level234.json,118
Level235.json,203
Level236.json,568
Level237.json,267
Level238.json,171
Level239.json,234
Level240.json,306
Level241.json,295
Level242.json,505
Level243.json,462
Level244.json,140
Level245.json,209
Level246.json,788
Level247.json,271
Level248.json,426
Level249.json,288
Level250.json,167
