Level Name,Arrow Count
Level23.json,59
Level34.json,59
Level68.json,112
Level71.json,93
Level88.json,155
Level98.json,162
Level122.json,279
Level133.json,201
Level138.json,223
Level148.json,135
Level163.json,223
Level183.json,237
Level193.json,261
Level208.json,260
Level218.json,242
Level238.json,123
Level257.json,113
Level263.json,300
Level265.json,350
Level278.json,389
Level279.json,118
Level280.json,146
Level293.json,373
Level295.json,408
Level298.json,433
Level306.json,407
Level313.json,363
Level323.json,447
Level331.json,126
Level352.json,477
Level355.json,411
Level358.json,425
Level364.json,146
Level382.json,430
