Level Name,Arrow Count
Level1.json,3
Level2.json,3
Level3.json,7
Level4.json,9
Level5.json,9
Level6.json,10
Level7.json,23
Level8.json,49
Level9.json,54
Level10.json,23
Level11.json,67
Level12.json,76
Level13.json,58
Level14.json,50
Level15.json,36
Level16.json,53
Level17.json,72
Level18.json,68
Level19.json,45
Level20.json,51
Level21.json,41
Level22.json,47
Level23.json,47
Level24.json,43
Level25.json,45
Level26.json,84
Level27.json,62
Level28.json,103
Level29.json,49
Level30.json,68
Level31.json,75
Level32.json,56
Level33.json,105
Level34.json,48
Level35.json,66
Level36.json,78
Level37.json,70
Level38.json,97
Level39.json,29
Level40.json,107
Level41.json,51
Level42.json,58
Level43.json,140
Level44.json,44
Level45.json,91
Level46.json,116
Level47.json,55
Level48.json,130
Level49.json,40
Level50.json,61
Level51.json,131
Level52.json,100
Level53.json,133
Level54.json,48
Level55.json,86
Level56.json,91
Level57.json,112
Level58.json,133
Level59.json,46
Level60.json,43
Level61.json,102
Level62.json,97
Level63.json,105
Level64.json,73
Level65.json,116
Level66.json,84
Level67.json,66
Level68.json,115
Level69.json,60
Level70.json,96
Level71.json,83
Level72.json,65
Level73.json,110
Level74.json,99
Level75.json,107
Level76.json,124
Level77.json,93
Level78.json,204
Level79.json,81
Level80.json,68
Level81.json,60
Level82.json,125
Level83.json,148
Level84.json,62
Level85.json,147
Level86.json,216
Level87.json,85
Level88.json,247
Level89.json,142
Level90.json,140
Level91.json,160
Level92.json,101
Level93.json,147
Level94.json,93
Level95.json,169
Level96.json,123
Level97.json,157
Level98.json,293
Level99.json,38
Level100.json,61
Level101.json,118
Level102.json,155
Level103.json,220
Level104.json,73
Level105.json,62
Level106.json,138
Level107.json,109
Level108.json,226
Level109.json,33
Level110.json,67
Level111.json,111
Level112.json,88
Level113.json,149
Level114.json,77
Level115.json,110
Level116.json,210
Level117.json,103
Level118.json,170
Level119.json,119
Level120.json,120
Level121.json,112
Level122.json,363
Level123.json,181
Level124.json,74
Level125.json,138
Level126.json,189
Level127.json,105
Level128.json,58
Level129.json,118
Level130.json,124
Level131.json,117
Level132.json,369
Level133.json,347
Level134.json,77
Level135.json,107
Level136.json,167
Level137.json,158
Level138.json,316
Level139.json,97
Level140.json,154
Level141.json,78
Level142.json,180
Level143.json,273
Level144.json,63
Level145.json,206
Level146.json,180
Level147.json,81
Level148.json,155
Level149.json,39
Level150.json,109
Level151.json,266
Level152.json,98
Level153.json,319
Level154.json,101
Level155.json,154
Level156.json,157
Level157.json,220
Level158.json,291
Level159.json,59
Level160.json,137
Level161.json,125
Level162.json,182
Level163.json,233
Level164.json,58
Level165.json,200
Level166.json,233
Level167.json,142
Level168.json,311
Level169.json,90
Level170.json,229
Level171.json,136
Level172.json,323
Level173.json,108
Level174.json,116
Level175.json,249
Level176.json,182
Level177.json,234
Level178.json,243
Level179.json,57
Level180.json,252
Level181.json,118
Level182.json,104
Level183.json,302
Level184.json,78
Level185.json,179
Level186.json,330
Level187.json,165
Level188.json,177
Level189.json,71
Level190.json,261
Level191.json,148
Level192.json,252
Level193.json,432
Level194.json,103
Level195.json,355
Level196.json,417
Level197.json,149
Level198.json,637
Level199.json,173
Level200.json,299
Level201.json,205
Level202.json,223
Level203.json,145
Level204.json,108
Level205.json,308
Level206.json,294
Level207.json,242
Level208.json,314
Level209.json,162
Level210.json,99
Level211.json,115
Level212.json,270
Level213.json,389
Level214.json,138
Level215.json,241
Level216.json,130
Level217.json,192
Level218.json,394
Level219.json,120
Level220.json,145
Level221.json,138
Level222.json,130
Level223.json,320
Level224.json,173
Level225.json,204
Level226.json,253
Level227.json,167
Level228.json,429
Level229.json,158
Level230.json,209
Level231.json,174
Level232.json,135
Level233.json,228
Level234.json,97
Level235.json,169
Level236.json,475
Level237.json,216
Level238.json,130
Level239.json,184
Level240.json,217
Level241.json,234
Level242.json,402
Level243.json,371
Level244.json,109
Level245.json,165
Level246.json,646
Level247.json,214
Level248.json,389
Level249.json,232
Level250.json,153
